Treatment,Block,Size,Spray Time,Plot #,Distance from focus,x07_03,x6_26
2,1,small,early,3.1,0,0,0
2,1,small,early,3.1,5,29,12.5
2,1,small,early,3.1,10,12.5,2.4
2,1,small,early,3.1,20,14.5,0.8
2,1,small,early,3.1,30,4.75,0.05
2,1,small,early,3.1,40,2.5,0.006
2,1,small,early,3.1,50,1,0.001
2,1,small,early,3.1,60,0.85,0.001
2,1,small,early,3.1,70,0.35,0.001
2,1,small,early,3.1,80,0.25,0
2,1,small,early,3.1,90,0.55,0.001
2,1,small,early,3.1,100,0.15,0
5,1,medium,early,3.2,0,0,0
5,1,medium,early,3.2,5,0,0
5,1,medium,early,3.2,10,0.35,0.002
5,1,medium,early,3.2,20,0.15,0.002
5,1,medium,early,3.2,30,0.1,0.001
5,1,medium,early,3.2,40,0.25,0
5,1,medium,early,3.2,50,0.15,0.001
5,1,medium,early,3.2,60,0.1,0
5,1,medium,early,3.2,70,0.06,0.001
5,1,medium,early,3.2,80,0.05,0.001
5,1,medium,early,3.2,90,0.05,0
5,1,medium,early,3.2,100,0.07,0.002
8,1,large,early,3.3,0,0,0
8,1,large,early,3.3,5,0,0
8,1,large,early,3.3,10,0,0
8,1,large,early,3.3,20,4,1.5
8,1,large,early,3.3,30,1.25,0.01
8,1,large,early,3.3,40,1.5,0.02
8,1,large,early,3.3,50,2.2,0.01
8,1,large,early,3.3,60,1.25,0.03
8,1,large,early,3.3,70,1.1,0.002
8,1,large,early,3.3,80,0.8,0.001
8,1,large,early,3.3,90,0.35,0.001
8,1,large,early,3.3,100,0.25,0.002
3,1,small,mid,3.4,0,0,0
3,1,small,mid,3.4,5,38,11
3,1,small,mid,3.4,10,27,8
3,1,small,mid,3.4,20,8.5,1
3,1,small,mid,3.4,30,5.5,0.35
3,1,small,mid,3.4,40,4,0.08
3,1,small,mid,3.4,50,1,0.006
3,1,small,mid,3.4,60,0.8,0.001
3,1,small,mid,3.4,70,0.5,0.002
3,1,small,mid,3.4,80,0.3,0.001
3,1,small,mid,3.4,90,1.4,0.001
3,1,small,mid,3.4,100,0.15,0.001
4,1,small,late,2.4,0,0,0
4,1,small,late,2.4,5,56,34
4,1,small,late,2.4,10,46,23.5
4,1,small,late,2.4,20,22,9.5
4,1,small,late,2.4,30,17.5,5
4,1,small,late,2.4,40,6,1.5
4,1,small,late,2.4,50,1.75,0.5
4,1,small,late,2.4,60,1.2,0.15
4,1,small,late,2.4,70,0.65,0.12
4,1,small,late,2.4,80,0.45,0.01
4,1,small,late,2.4,90,0.15,0.001
4,1,small,late,2.4,100,1.05,0.003
10,1,large,late,2.5,0,0,0
10,1,large,late,2.5,5,0,0
10,1,large,late,2.5,10,0,0
10,1,large,late,2.5,20,80,37
10,1,large,late,2.5,30,50,14.25
10,1,large,late,2.5,40,43.5,13
10,1,large,late,2.5,50,30,7
10,1,large,late,2.5,60,25,9.5
10,1,large,late,2.5,70,23,6
10,1,large,late,2.5,80,16,5.2
10,1,large,late,2.5,90,14.5,3.6
10,1,large,late,2.5,100,7.5,1.6
9,1,large,mid,1.7,0,0,0
9,1,large,mid,1.7,5,0,0
9,1,large,mid,1.7,10,0,0
9,1,large,mid,1.7,20,9,0.75
9,1,large,mid,1.7,30,6,0.4
9,1,large,mid,1.7,40,6.5,0.75
9,1,large,mid,1.7,50,3,0.35
9,1,large,mid,1.7,60,1.5,0.3
9,1,large,mid,1.7,70,2.5,0.075
9,1,large,mid,1.7,80,5.3,0.025
9,1,large,mid,1.7,90,2.2,0.05
9,1,large,mid,1.7,100,0.1,0.005
1,1,control,none,1.8,0,95,87
1,1,control,none,1.8,5,87,55
1,1,control,none,1.8,10,77,42
1,1,control,none,1.8,20,66,25
1,1,control,none,1.8,30,50,17
1,1,control,none,1.8,40,33,6
1,1,control,none,1.8,50,15,1.5
1,1,control,none,1.8,60,8,0.15
